usuario;fecha;texto;rating
sofia452;19/06/2026;  Muy recomendada, la función de backup es justo lo que necesitaba. Me encanta FlowApp, sobre todo la app en tablet, la uso todos los días ??  ;5
sofia843;8/06/2026;Increible experiencia de principio a fin, sin ningún problema;5
gabriel164;26/06/2026;BIEN;4
sofia932;7/07/2026;Excelente la interfaz, funciona perfecto y sin fallas. Excelente los anuncios, funciona perfecto y sin fallas!;5
camila940;26/06/2026;Perfecta, no le cambiaría nada, el soporte al cliente funciona genial ??;5
nicolas254;22/06/2026;  MUY RECOMENDADA, LA INTERFAZ ES JUSTO LO QUE NECESITABA  ;5
juan911;1/07/2026;Muy buena app, aunque el buscador interno podría mejorar un poco! ??;4
renata88;10/07/2026;  Excelente los anuncios, funciona perfecto y sin fallas. Excelente la velocidad de carga, funciona perfecto y sin fallas  ;5
camila230;25/05/2026;Perfecta, no le cambiaria nada, la funcion de backup funciona genial. Simplemente la mejor, las actualizaciones nunca me fallo!;5
luciana472;22/05/2026;Cumple lo que promete, el modo oscuro anda bien la mayoría del tiempo;4
fernanda590;5/06/2026;BASTANTE  CONFORME, EL LOGIN ES SOLIDO AUNQUE NO PERFECTO ??;4
juan226;20/06/2026;Muy buena app, aunque el widget de inicio podría mejorar un poco. Me gusta bastante, la interfaz funciona bien casi siempre ??;4
alejandro506;16/06/2026;  Excelente las notificaciones, funciona perfecto y sin fallas!!!  ;5
gabriel197;3/06/2026;  NO ME CONVENCIO, EL BUSCADOR INTERNO FALLA SEGUIDO  ;2
renata192;22/06/2026;Bastante conforme, la batería es ssólido aunque no perfecto!;4
valeria875;7/05/2026;Muy buena app, , aunque la velocidad de carga podría mejorar un poco ??;4
carolina765;27/06/2026;No me convencio, el modo oscuro falla seguido ??;2
paula312;10/05/2026;Muy buena;4
martin827;5/05/2026;Contento con la app ?? ??;4
camila846;2/06/2026;Bien;4
paula471;9/06/2026;  Excelente LA velocidad de carga, funciona perfecto y sin fallas...  ;
juan808;4/07/2026;Cumple lo que promete, el buscador interno anda bien la mayoría del tiempo?? ??;4
camila179;5/06/2026;Ni fu ni fa, , esperaba más de el widget de inicio;3
andres245;6/05/2026;INCREÍBLE EXPERIENCIA DE PRINCIPIO A FIN, SIN NINGÚN PROBLEMA ??!!!;5
gabriel290;14/05/2026;Perfecta, no le cambiaria naada, la bateria funciona genial ??;5
diego159;8/05/2026;Me encanta FlowApp, sobre todo las notificaciones, la uso todos los días. Simplemente la mejor, la velocidad de carga nunca me falló;5
diego427;3/05/2026;Increíble EXPERIENCIA de principio a fin, sin ningún problema;5
sofia569;29/06/2026;  ME ENCANTA FLOWAPP, SOBRE TODO LAS NOTIFICACIONES, LA USO TODOS LOS DÍAS!  ;5
carolina368;26/05/2026;Recomendada, , aunque esperaba un poco más de el modo oscuro...;4
alejandro538;5/07/2026;;4
valeria229;1/05/2026;Ni fu ni fa!!;3
fernanda144;26/06/2026;Bien ??;4
andres833;16/06/2026;  Es una app promedio, los anuncios funciona a veces y a veces no  ;3
juan994;8/06/2026;Diez de diez, el precio de la suscripcion supero mis expectativas totalmente;5
camila355;23/06/2026;10-oct;5
diego191;9/05/2026;  Pesima experiencia, el soporte al cliente no funciona para nada. No la recomiendo, perdi tiempo y dinero por las alertas push!  ;1
camila953;14/05/2026;;5
alejandro520;1/06/2026;  Buena experiencia en general, solo tuve un problemita con el soporte al cliente ??   ??;4
luciana151;3/05/2026;Buena experiencia en general, solo tuve un problemita con las alertas push!!;4
renata996;13/06/2026;Diez de diez, , las alertas push superó mis expectativas totalmente. Increíble experiencia de principio a fin, , sin ningún problema;5
camila463;26/06/2026;  INCREÍBLE EXPERIENCIA DE PRINCIPIO A FIN, SIN NINGÚN PROBLEMA ??...  ;5
paula153;8/07/2026;Simplemente la mejor, el modo oscuro nunca me fallo. Excelente el precio de la suscripcion, funciona perfecto y sin fallas.;5
camila683;7/05/2026;Cumple lo BÁSICO nada más, , la app en tablet necesita trabajo. Está bien pero la sincronización le falta pulir;-1
mateo553;4/05/2026;  ME ENCANTA FLOWAPP, SOBRE TODO LA FUNCION DE BACKUP, LA USO TODOS LOS DIAS. INCREIBLE EXPERIENCIA DE PRINCIPIO A FIN, SIN NINGUN PROBLEMA!  ;5
mateo874;28/06/2026;Me gusta bastante, las alertas push funciona BIEN cassi siempre;4
sofia782;21/05/2026;;5
diego744;4/06/2026;  MUY BUENA!!  ;4
gabriel563;27/05/2026;  MUY BUENA APP, AUNQUE LA APP EN TABLET PODRÍA MEJORAR UN POCO  ;4
camila157;6/05/2026;La mejor app que probé en mucho tiempo, la velocidad de carga funciona increíble;5
camila541;4/06/2026;  Excelente la batería, funciona perfecto y sin fallas. Excelente el buscador interno, funciona perfecto y sin fallas...  ;5
valeria458;20/05/2026;Simplemente la mejor, el soporte al cliente nunca me falló ??!!!;5
gabriel645;20/06/2026;Ni fu ni fa, esperaba mas de las actualizaciones;3
sofia647;7/07/2026;   BUENA EXPERIENCIA EN GENERAL, SOLO TUVE UN PROBLEMITA CON LAS NOTIFICACIONES!!!   ;4
paula207;10/07/2026;Regular, tiene cosas buenas pero la velocidad de carga me genero dudas.;3
luciana964;8/06/2026;  No me gusto...   ??;
valentina367;16/06/2026;Cumple lo que promete, los anuncios anda bien la mayoría del tiempo;4
andres883;12/05/2026;Tuve varios inconvenientes con las actualizaciones, no fue buena  experiencia;2
renata292;19/06/2026;Increíble experiencia de principio A fin, sin ningún problema!!;5
gabriel994;22/05/2026;  BASTANTE CONFORME, LA BATERÍA ES SÓLIDO AUNQUE NO PERFECTO. CUMPLE LO QUE PROMETE, LAS NOTIFICACIONES ANDA BIEN LA MAYORÍA DEL TIEMPO  ;4
santiago360;29/06/2026;Muy recomendada, , las notificaciones es justo lo que necesitaba;5
paula247;26/05/2026;La mejor app que probé en mucho tiempo, las notificaciones funciona increíble ??????????;5
nicolas19;9/05/2026;  Está bien pero el widget de inicio le falta pulir ??  ;3
valentina913;20/06/2026;;3
diego794;13/05/2026;Excelente la función de backup, funciona perfecto y sin fallas ??;5
diego395;7/06/2026;Diez de diez, la velocidad de carga superó mis expectativas totaalmente!!;5
sofia718;4/05/2026;Recomendada.;4
fernanda565;6/05/2026;  La peor app que probe, la función de backup es un desastre. Terrible, el buscador interno se rompe constantemente.  ;1
sofia402;7/05/2026;;5
diego263;3/07/2026;MUY BUENA APP, AUNQUE LA INTERFAZ PODRIA MEJORAR UN POCO;4
camila53;10/07/2026;Normal ??!!;3
renata278;29/05/2026;  Ni fu ni fa, esperaba más dde las notificaciones!  ;3
santiago749;10/05/2026;  Me encanta FlowApp, sobre todo el login, la uso todos los días. La mejor app que probé en mucho tiempo, las notificaciones funciona increíble ????  ;5
juan122;25/05/2026;  Bien   ??;4
carolina722;15/06/2026;Regular;3
diego832;26/05/2026;  Ni fu ni fa, esperaba más de el soporte al cliente. Cumple lo básico nada más, la funcion de backup necesita trabajo  ;
martin908;11/05/2026;Recomendada, aunque esperaba un poco más de la batería;4
camila36;25/05/2026;Increíble experiencia de principio a fin, sin ningún problema. La mejor app que probé en mucho tiempo, el LOGIN funciona increíble!!;5
valeria229;1/05/2026;Ni fu ni fa!!;3
sofia704;4/07/2026;  Diez de diez, , la sincronización superó mis expectativas totalmente. Diez de diez, , el buscador interno superó mis expectativas totalmente  ;5
emiliano982;18/06/2026;No me convenció, el modo oscuro falla seguido;2
alejandro973;9/05/2026;  PERFECTA, NO LE CAMMBIARÍA NADA, LA INTERFAZ FUNCIONA GENIAL...  ;5
fernanda107;3/07/2026;Excelente el buscador interno, funciiona perfecto y sin fallas;5
sofia76;15/05/2026;Me encanta FlowApp, sobre todo el login, la uso todos los días. Me encanta FlowApp, sobre todo el login, la uso todos los días ??;5
diego396;5/07/2026;Cumple lo que promete, la batería anda bien la mayoría del tiempo. Buena experiencia en general, solo tuve un problemita con la interfaz ??;4
carolina497;1/07/2026;  Me gusta bastante, el buscador interno funciona bien casi siempre.  ;4
carolina451;9/05/2026;Muy buena ??;4
santiago581;20/06/2026;Es una app promedio, la sincronización funciona a veces y a veces no;0
alejandro297;24/05/2026;Excelente la velocidad de carga, funciona perfecto y sin fallas. ??;5
santiago861;27/06/2026;  MUY BUENA APP, AUNQUE LA VELOCIDAD DE CARGA PODRÍA MEJORAR UN POCO. MUY BUENA APP, AUNQUE EL SOPORTE AL CLIENTE PODRÍA MEJORAR UN POCO  ;4
paula771;21/05/2026;Muy buena app, aunque las notificaciones podria mejorar un poco!!;4
santiago177;5/05/2026;Increíble experiencia de principio a fin, sin ningún pproblema ??;5
valentina378;23/06/2026;;3
paula436;9/06/2026;  Increíble experiencia de principio a fin, sin ningún problema. La mejor app que probé en mucho tiempo, las alertas push funciona increíble ????????????  ;5
luciana218;13/05/2026;BIEN;4
sofia358;4/05/2026;;3
sofia874;25/06/2026;Muy recomendada, la interfaz es justo lo que neceesitaba ??...;5
mateo201;1/06/2026;Excelente las alertas push, funciona perfecto y sin fallas ??;5
andres854;3/07/2026;Cumple lo básico nada más, la funcion de backup necesita trabajo ??!!!;3
valeria470;12/06/2026;PERFECTA, no le cambiaría nada, los anuncios funciona genial ??.;
gabriel467;13/06/2026;SIMPLEMENTE LA MEJOR, EL SOPORTE AL CLIENTE NUNCA ME FALLO;5
santiago477;29/05/2026;Muy recomendada, la batería es justo lo que necesitaba!;5
sofia397;11/06/2026;Increíble experieencia de principio a fin, sin ningún problema ??!!;5
emiliano702;4/05/2026;Me encanta FlowApp, sobre todo el login, la uso todos los días. Muy recomendada, los anuncios es justo lo que necesitaba;5
nicolas768;12/05/2026;Perfecta, no le cambiaría nada, la interfaz funciona genial. La mejor app que probé en mucho tiempo, la función de backup funciona increíble;5
juan882;21/06/2026;Buena experiencia en general, solo tuve un problemita con la función de backup ?? ??;4
valeria201;14/05/2026;  Está bien pero las actualizaciones le falta pulir. Regular, tiene cosas buenas pero el widget de inicio me generó dudas ??!  ;3
mateo142;1/06/2026;Diez de diez, , el widget de inicio superó mis expectativas totalmente. Increíble EXPERIENCIA de principio a fin, , sin ningún problema. ??;5
valentina556;4/06/2026;Perfecta, no le cambiaria nada, el logiin funciona genial;5
sofia426;15/06/2026;ESPEERABA MAS!! ??;2
diego623;15/06/2026;Regular, tiene cosas BUENAS pero la app en tablet me generó dudas. Es una app promedio, el login funciona a veces y a veces no;-1
juan741;12/06/2026;  Bastante decepcionante, sobre todo la app en tablet  ;2
luciana747;16/06/2026;  CUMPLE LO BÁSICO NADA MÁS, LAS NOTTIFICACIONES NECESITA TRABAJO ??  ;3
alejandro516;17/06/2026;Me gusta bastante, la función de backup funciona bien casi siempre. Me gusta bastante, el login funciona bien casi siempre ??;4
daniela419;8/07/2026;NO LA RECOMIENDO, PERDÍ TIEMPO Y DINERO POR LAS ACTUALIZACIONES ??;1
gabriel681;29/05/2026;  Bastante decepcionante, sobre todo las actualizaciones!!  ;2
santiago344;2/05/2026;  Muy buena  ;4
daniela336;8/06/2026;Me encanta FlowApp, sobre todo las alertas push, la  uso todos los días;5
juan873;23/05/2026;Regular, tiene cosas buenas pero la app en tablet me generó dudas. Ni fu ni fa, esperaba más de la batería ??!;3
paula806;1/05/2026;  RECOMENDADA  ;4
fernanda425;3/07/2026;Bastante conforme, el login es sólido aunque no perfecto. Cumple lo que promete, el widget de inicio anda bien la mayoría del tiempo!;4
daniela994;16/06/2026;  Bastante decepcionante, sobre todo la interfaz ??  ;2
santiago759;26/05/2026;  Excelente la veloccidad de carga, funciona perfecto y sin fallas  ;5
daniela985;26/06/2026;Bastante decepcionante, sobre todo el login;2
paula737;6/05/2026;Perfecta, no le cambiaría nada, la batería funciona genial. Me encanta FlowApp, sobre todo el soporte al cliente, la uso todos los días;5
santiago466;2/06/2026;No me convenció, el buscador interno falla seguido. Bastante decepcionante, sobre todo la app en tablet ??;2
carolina549;6/05/2026;  Ni fu ni fa, esperaba más de el soporte al cliente. Cumple lo básico nada más, el soporte al cliente necesita trabajo!  ;3
emiliano55;9/07/2026;  Me encanta FlowApp, sobre todo la funcion de backup, la uso toddos los dias  ;5
carolina830;2/07/2026;Recomendada, aunque esperaba un POCO mas de los anuncios;4
camila690;23/05/2026;Podria mejorar;3
fernanda361;13/05/2026;  No ME gusto  ;2
sofia505;9/07/2026;Muy recomendada, , LA interfaz es justo lo que necesitaba!!!;5
juan385;5/05/2026;Excelente las actualizaciones, , funciona perfecto y sin fallas. La mejor app que probe en mucho tiempo, , el modo oscuro funciona increíble;5
gabriel120;12/05/2026;Bastante conforme, , el buscador interno es sólido aunque no perfecto ??;4
fernanda771;7/07/2026;;5
diego194;13/05/2026;Me encanta;5
mateo234;31/05/2026;  Regular??  ;3
camila111;2/05/2026;Perfecta;5
camila719;28/05/2026;Muy buena app, aunque los anuncios podría mejorar un poco;4
fernanda339;9/05/2026;  Excelente la batería, funciona perfecto y sin fallas. Me ENCANTA FlowApp, sobre todo el modo oscuro, la uso todos los días  ;5
fernanda888;17/06/2026;Es una app promedio, la app en tablet funciona a veces y a veces no;6
alejandro940;9/05/2026;Tuve varios inconvenientes con el precio de la suscripción, no fue buena experiencia. Bastante decepcionante, sobre todo la bateria ??;2
juan436;2/06/2026;La amo??;5
renata815;2/06/2026;;2
fernanda907;10/05/2026;Muy buena app, , aunque la batería podría mejorar un poco! ??;4
valentina658;1/07/2026;Perfecta, no le cambiaría nada, el widget de inicio funciona genial!!;5
alejandro432;6/05/2026;NO ME CONVENCIÓ, EL MODO OSCURO FALLA SEGUIDO!!! ??;2
diego518;2/06/2026;La mejor app que probé en mucho tiempo, , la batería funciona increíble!!;5
emiliano408;13/05/2026;  LA PEOR APP QUE PROBÉ, EL LOGIN ES UN DESASTRE. MUY MALA, LAS ACTUALIZACIONES DIRECTAMENTE NO SIRVE.  ;1
valentina567;25/05/2026;La mejor app que probe en mucho tiempo, los anuncios funciona increíble. Perfecta, no le cambiaría nada, el widget de inicio funciona genial!;5
emiliano5;19/05/2026;Ni fu ni fa, esperaba más de el modo oscuro??;3
paula711;23/06/2026;Decepcionante total, las notificaciones arruina TODA la experiencia;1
camila954;31/05/2026;  Excelente!!  ;5
paula247;26/05/2026;La mejor app que probé en mucho tiempo, las notificaciones funciona increíble ??????????;5
carolina482;10/06/2026;  Bastante conforme, la velocidad de carga es sólido aunque no perfecto   ??;4
fernanda687;2/06/2026;Esperaba más, , el widget de inicio deja mucho que desear. Tuve varios inconvenientes con la batería, , no fue buena experiencia;2
gabriel438;10/06/2026;  Recomendada, aunque esperaba un poco más de la función de backup. Me gusta bastante, la interfaz funciona bien casi siempre ??!  ;4
camila56;24/06/2026;PERFECTA, NO LE CAMBIARIA NADA, EL PRECIO DE LA SUSCRIPCION FUNCIONA GENIAL.;5
fernanda132;6/06/2026;Recomendada, aunque esperaba un poco más de la velocidad de carga!!!;4
andres314;9/07/2026;No la recomiendo, peerdí tiempo y dinero por las actualizaciones. Muy mala, la sincronización directamente no sirve ??;1
renata857;23/05/2026;  Recomendada, aunque esperaba un poco más de la batería. Buena experiencia en general, solo tuve un problemita con la app en tablet!!  ;4
daniela345;22/06/2026;  Muy mala, , la interfaz directamente no sirve  ;1
fernanda144;26/06/2026;Bien ??;4
luciana261;3/06/2026;  No la recomendaría del todo, el widget de inicio tiene muchos problemas!  ;2
gabriel496;9/05/2026;Perfecta, , no le cambiaría nada, , los anuncios funciona genial ??;5
emiliano50;17/06/2026;  Cumple lo que promete, , las alertas push anda bien la mayoría del tiempo!!!  ;4
emiliano521;27/06/2026;Contento con la app;4
mateo799;7/06/2026;  Muy recomendada, la funcion de backup es justo lo que necesitaba. Muy recomendada, el soporte al cliente es justo lo que necesitaba   ??;5
gabriel850;6/07/2026;  Recomendada, aunque esperaba un poco más de la interfaz. Buena experiencia en general, solo tuve un problemita con el login  ;4
santiago749;10/05/2026;  Me encanta FlowApp, sobre todo el login, la uso todos los días. La mejor app que probé en mucho tiempo, las notificaciones funciona increíble ????  ;5
nicolas298;9/07/2026;Recomendada, aunque esperaba un poco más de la función de backup;4
luciana712;13/05/2026;;2
andres916;11/06/2026;Perfecta, , no le cambiaría nada, , las alertas push funciona genial ??;5
sofia779;17/06/2026;  Me gusta bastante, la función de backup funciona bien casi siempre  ;4
santiago7;5/07/2026;Me gusta bastante, la funcion de backup funciona bien casi siempre ?????????? ??;4
mateo247;9/07/2026;  Muy recomendada, el login es justo lo que necesitaba  ;5
luciana594;1/07/2026;Muy buena app, , aunque la interfaz podria mejorar un poco;4
renata976;19/05/2026;La mejor app que probé en mucho tiempo, el precio de la suscripción funciona increíble;5
paula563;5/06/2026;Regular, , TIENE cosas buenas pero las actualizaciones me generó dudas!!;3
renata970;23/06/2026;La mejor app que probé en mucho tiempo, la interfaz funciona increíble. Muy recomendada, el precio de la suscripción es justo lo que necesitaba;5
carolina717;3/06/2026;Es una app promedio, , la interfaz funciona a veces y a veces NO??;3
renata823;4/05/2026;TUVE VARIOS INCONVENIENTES CON LAS ACTUALIZACIONES, NO FUE BUENA EXPERIENCIA ??!!!;2
paula291;15/05/2026;  Muy buena app, aunque la app en tablet podría mejorar un poco   ??;4
daniela507;24/06/2026;Terrible, la velocidad de carga SE rompe constantemente.;1
paula868;7/05/2026;ME gusta bastante, la función de backup funciona bien casi siempre. Recomendada, aunque esperaba un poco más de el login...;4
valentina185;16/06/2026;Muy buena app, aunque el login podría mejorar un poco ??;4
sofia362;22/06/2026;Muy recomendada, los anuncios es justo lo que necesitaba;5
paula112;3/06/2026;Increible experienciaa de principio a fin, sin ningun problema;5
paula516;3/07/2026;Bastante conforme, , los anuncios es sólido aunque no perfecto. Buena experiencia en general, , solo tuve un problemita con el modo oscuro ??.;4
fernanda639;7/06/2026;Muy buena APP, aunquue la batería podría mejorar un poco!!;4
renata977;19/06/2026;No la recomendaría del todo, las alertas push tiene muchos problemas. No la recomendaría del todo, el precio de la suscripción tiene muchos problemas ??!!!;2
martin685;27/05/2026;Simplemente la mejor,  el precio de la suscripción nunca me falló ??;5
renata635;5/05/2026;Muy buena app, aunque las actualizaciones podría mejorar un poco. Recomendada, aunque esperraba un poco más de la app en tablet;4
santiago587;29/05/2026;Bastante conforme, la función de backup es sólido aunque no perfecto!;4
martin177;8/05/2026;Diez de diez, , las alertas push supero mis expectativas totalmente;5
carolina152;13/05/2026;Tuve varios inconvenientes con la app en tablet, no fue buena experiencia. No la recomendaría del todo, la velocidad de carga tiene muchos problemas;2
gabriel79;6/05/2026;Me gusta bastante, el soporte al cliente funciona bien casi siempre. ??;4
